Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP15_L1	TP15	Leaf	RT430	Control	1	ControlTP15
TP15_L11	TP15	Leaf	BT642	Control	3	ControlTP15
TP15_L12	TP15	Leaf	RT430	Control	3	ControlTP15
TP15_L13	TP15	Leaf	RT430	Pre_flowering	2	Pre_floweringTP15
TP15_L14	TP15	Leaf	BT642	Pre_flowering	2	Pre_floweringTP15
TP15_L17	TP15	Leaf	BT642	Pre_flowering	1	Pre_floweringTP15
TP15_L18	TP15	Leaf	RT430	Pre_flowering	1	Pre_floweringTP15
TP15_L19	TP15	Leaf	BT642	Control	2	ControlTP15
TP15_L2	TP15	Leaf	BT642	Control	1	ControlTP15
TP15_L20	TP15	Leaf	RT430	Control	2	ControlTP15
TP15_L5	TP15	Leaf	RT430	Pre_flowering	3	Pre_floweringTP15
TP15_L6	TP15	Leaf	BT642	Pre_flowering	3	Pre_floweringTP15
TP16_L1	TP16	Leaf	RT430	Control	1	ControlTP16
TP16_L11	TP16	Leaf	BT642	Control	3	ControlTP16
TP16_L12	TP16	Leaf	RT430	Control	3	ControlTP16
TP16_L13	TP16	Leaf	RT430	Pre_flowering	2	Pre_floweringTP16
TP16_L14	TP16	Leaf	BT642	Pre_flowering	2	Pre_floweringTP16
TP16_L17	TP16	Leaf	BT642	Pre_flowering	1	Pre_floweringTP16
TP16_L18	TP16	Leaf	RT430	Pre_flowering	1	Pre_floweringTP16
TP16_L19	TP16	Leaf	BT642	Control	2	ControlTP16
TP16_L2	TP16	Leaf	BT642	Control	1	ControlTP16
TP16_L20	TP16	Leaf	RT430	Control	2	ControlTP16
TP16_L5	TP16	Leaf	RT430	Pre_flowering	3	Pre_floweringTP16
TP16_L6	TP16	Leaf	BT642	Pre_flowering	3	Pre_floweringTP16
TP17_L1	TP17	Leaf	RT430	Control	1	ControlTP17
TP17_L11	TP17	Leaf	BT642	Control	3	ControlTP17
TP17_L12	TP17	Leaf	RT430	Control	3	ControlTP17
TP17_L13	TP17	Leaf	RT430	Pre_flowering	2	Pre_floweringTP17
TP17_L14	TP17	Leaf	BT642	Pre_flowering	2	Pre_floweringTP17
TP17_L17	TP17	Leaf	BT642	Pre_flowering	1	Pre_floweringTP17
TP17_L18	TP17	Leaf	RT430	Pre_flowering	1	Pre_floweringTP17
TP17_L19	TP17	Leaf	BT642	Control	2	ControlTP17
TP17_L2	TP17	Leaf	BT642	Control	1	ControlTP17
TP17_L20	TP17	Leaf	RT430	Control	2	ControlTP17
TP17_L5	TP17	Leaf	RT430	Pre_flowering	3	Pre_floweringTP17
TP17_L6	TP17	Leaf	BT642	Pre_flowering	3	Pre_floweringTP17
TP1_L1	TP1	Leaf	RT430	Control	1	ControlTP01
TP1_L11	TP1	Leaf	BT642	Control	3	ControlTP01
TP1_L12	TP1	Leaf	RT430	Control	3	ControlTP01
TP1_L19	TP1	Leaf	BT642	Control	2	ControlTP01
TP1_L2	TP1	Leaf	BT642	Control	1	ControlTP01
TP1_L20	TP1	Leaf	RT430	Control	2	ControlTP01
TP2_L1	TP2	Leaf	RT430	Control	1	ControlTP02
TP2_L11	TP2	Leaf	BT642	Control	3	ControlTP02
TP2_L12	TP2	Leaf	RT430	Control	3	ControlTP02
TP2_L19	TP2	Leaf	BT642	Control	2	ControlTP02
TP2_L2	TP2	Leaf	BT642	Control	1	ControlTP02
TP2_L20	TP2	Leaf	RT430	Control	2	ControlTP02
TP3_L1	TP3	Leaf	RT430	Control	1	ControlTP03
TP3_L11	TP3	Leaf	BT642	Control	3	ControlTP03
TP3_L12	TP3	Leaf	RT430	Control	3	ControlTP03
TP3_L13	TP3	Leaf	RT430	Pre_flowering	2	Pre_floweringTP03
TP3_L14	TP3	Leaf	BT642	Pre_flowering	2	Pre_floweringTP03
TP3_L17	TP3	Leaf	BT642	Pre_flowering	1	Pre_floweringTP03
TP3_L18	TP3	Leaf	RT430	Pre_flowering	1	Pre_floweringTP03
TP3_L19	TP3	Leaf	BT642	Control	2	ControlTP03
TP3_L2	TP3	Leaf	BT642	Control	1	ControlTP03
TP3_L20	TP3	Leaf	RT430	Control	2	ControlTP03
TP3_L5	TP3	Leaf	RT430	Pre_flowering	3	Pre_floweringTP03
TP3_L6	TP3	Leaf	BT642	Pre_flowering	3	Pre_floweringTP03
TP4_L1	TP4	Leaf	RT430	Control	1	ControlTP04
TP4_L11	TP4	Leaf	BT642	Control	3	ControlTP04
TP4_L12	TP4	Leaf	RT430	Control	3	ControlTP04
TP4_L13	TP4	Leaf	RT430	Pre_flowering	2	Pre_floweringTP04
