Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP17_R12	TP17	Root	RT430	Control	3	ControlTP17
TP17_R13	TP17	Root	RT430	Pre_flowering	2	Pre_floweringTP17
TP17_R14	TP17	Root	BT642	Pre_flowering	2	Pre_floweringTP17
TP17_R15	TP17	Root	BT642	Post_flowering	1	Post_floweringTP17
TP17_R16	TP17	Root	RT430	Post_flowering	1	Post_floweringTP17
TP17_R17	TP17	Root	BT642	Pre_flowering	1	Pre_floweringTP17
TP17_R18	TP17	Root	RT430	Pre_flowering	1	Pre_floweringTP17
TP17_R19	TP17	Root	BT642	Control	2	ControlTP17
TP17_R2	TP17	Root	BT642	Control	1	ControlTP17
TP17_R20	TP17	Root	RT430	Control	2	ControlTP17
TP17_R21	TP17	Root	BT642	Post_flowering	3	Post_floweringTP17
TP17_R22	TP17	Root	RT430	Post_flowering	3	Post_floweringTP17
TP17_R3	TP17	Root	RT430	Post_flowering	2	Post_floweringTP17
TP17_R4	TP17	Root	BT642	Post_flowering	2	Post_floweringTP17
TP17_R5	TP17	Root	RT430	Pre_flowering	3	Pre_floweringTP17
TP17_R6	TP17	Root	BT642	Pre_flowering	3	Pre_floweringTP17
TP1_R1	TP1	Root	RT430	Control	1	ControlTP01
TP1_R11	TP1	Root	BT642	Control	3	ControlTP01
TP1_R12	TP1	Root	RT430	Control	3	ControlTP01
TP1_R19	TP1	Root	BT642	Control	2	ControlTP01
TP1_R2	TP1	Root	BT642	Control	1	ControlTP01
TP1_R20	TP1	Root	RT430	Control	2	ControlTP01
TP2_R1	TP2	Root	RT430	Control	1	ControlTP02
TP2_R11	TP2	Root	BT642	Control	3	ControlTP02
TP2_R12	TP2	Root	RT430	Control	3	ControlTP02
TP2_R19	TP2	Root	BT642	Control	2	ControlTP02
TP2_R2	TP2	Root	BT642	Control	1	ControlTP02
TP2_R20	TP2	Root	RT430	Control	2	ControlTP02
TP3_R1	TP3	Root	RT430	Control	1	ControlTP03
TP3_R11	TP3	Root	BT642	Control	3	ControlTP03
TP3_R12	TP3	Root	RT430	Control	3	ControlTP03
TP3_R13	TP3	Root	RT430	Pre_flowering	2	Pre_floweringTP03
TP3_R14	TP3	Root	BT642	Pre_flowering	2	Pre_floweringTP03
TP3_R17	TP3	Root	BT642	Pre_flowering	1	Pre_floweringTP03
TP3_R18	TP3	Root	RT430	Pre_flowering	1	Pre_floweringTP03
TP3_R19	TP3	Root	BT642	Control	2	ControlTP03
TP3_R2	TP3	Root	BT642	Control	1	ControlTP03
TP3_R20	TP3	Root	RT430	Control	2	ControlTP03
TP3_R5	TP3	Root	RT430	Pre_flowering	3	Pre_floweringTP03
TP3_R6	TP3	Root	BT642	Pre_flowering	3	Pre_floweringTP03
TP4_R1	TP4	Root	RT430	Control	1	ControlTP04
TP4_R11	TP4	Root	BT642	Control	3	ControlTP04
TP4_R12	TP4	Root	RT430	Control	3	ControlTP04
TP4_R13	TP4	Root	RT430	Pre_flowering	2	Pre_floweringTP04
TP4_R14	TP4	Root	BT642	Pre_flowering	2	Pre_floweringTP04
TP4_R17	TP4	Root	BT642	Pre_flowering	1	Pre_floweringTP04
TP4_R18	TP4	Root	RT430	Pre_flowering	1	Pre_floweringTP04
TP4_R19	TP4	Root	BT642	Control	2	ControlTP04
TP4_R2	TP4	Root	BT642	Control	1	ControlTP04
TP4_R20	TP4	Root	RT430	Control	2	ControlTP04
TP4_R5	TP4	Root	RT430	Pre_flowering	3	Pre_floweringTP04
TP4_R6	TP4	Root	BT642	Pre_flowering	3	Pre_floweringTP04
TP5_R1	TP5	Root	RT430	Control	1	ControlTP05
TP5_R11	TP5	Root	BT642	Control	3	ControlTP05
TP5_R12	TP5	Root	RT430	Control	3	ControlTP05
TP5_R13	TP5	Root	RT430	Pre_flowering	2	Pre_floweringTP05
TP5_R14	TP5	Root	BT642	Pre_flowering	2	Pre_floweringTP05
TP5_R17	TP5	Root	BT642	Pre_flowering	1	Pre_floweringTP05
TP5_R18	TP5	Root	RT430	Pre_flowering	1	Pre_floweringTP05
TP5_R19	TP5	Root	BT642	Control	2	ControlTP05
TP5_R2	TP5	Root	BT642	Control	1	ControlTP05
TP5_R20	TP5	Root	RT430	Control	2	ControlTP05
TP5_R5	TP5	Root	RT430	Pre_flowering	3	Pre_floweringTP05
TP5_R6	TP5	Root	BT642	Pre_flowering	3	Pre_floweringTP05
TP6_R1	TP6	Root	RT430	Control	1	ControlTP06
TP6_R11	TP6	Root	BT642	Control	3	ControlTP06
TP6_R12	TP6	Root	RT430	Control	3	ControlTP06
TP6_R13	TP6	Root	RT430	Pre_flowering	2	Pre_floweringTP06
TP6_R14	TP6	Root	BT642	Pre_flowering	2	Pre_floweringTP06
TP6_R17	TP6	Root	BT642	Pre_flowering	1	Pre_floweringTP06
TP6_R18	TP6	Root	RT430	Pre_flowering	1	Pre_floweringTP06
TP6_R19	TP6	Root	BT642	Control	2	ControlTP06
TP6_R2	TP6	Root	BT642	Control	1	ControlTP06
TP6_R20	TP6	Root	RT430	Control	2	ControlTP06
TP6_R5	TP6	Root	RT430	Pre_flowering	3	Pre_floweringTP06
TP6_R6	TP6	Root	BT642	Pre_flowering	3	Pre_floweringTP06
TP7_R1	TP7	Root	RT430	Control	1	ControlTP07
TP7_R11	TP7	Root	BT642	Control	3	ControlTP07
TP7_R12	TP7	Root	RT430	Control	3	ControlTP07
TP7_R13	TP7	Root	RT430	Pre_flowering	2	Pre_floweringTP07
TP7_R14	TP7	Root	BT642	Pre_flowering	2	Pre_floweringTP07
TP7_R17	TP7	Root	BT642	Pre_flowering	1	Pre_floweringTP07
TP7_R18	TP7	Root	RT430	Pre_flowering	1	Pre_floweringTP07
TP7_R19	TP7	Root	BT642	Control	2	ControlTP07
TP7_R2	TP7	Root	BT642	Control	1	ControlTP07
TP7_R20	TP7	Root	RT430	Control	2	ControlTP07
TP7_R5	TP7	Root	RT430	Pre_flowering	3	Pre_floweringTP07
TP7_R6	TP7	Root	BT642	Pre_flowering	3	Pre_floweringTP07
TP8_R1	TP8	Root	RT430	Control	1	ControlTP08
TP8_R11	TP8	Root	BT642	Control	3	ControlTP08
TP8_R12	TP8	Root	RT430	Control	3	ControlTP08
TP8_R13	TP8	Root	RT430	Pre_flowering	2	Pre_floweringTP08
TP8_R15	TP8	Root	BT642	Post_flowering	1	Post_floweringTP08
TP8_R16	TP8	Root	RT430	Post_flowering	1	Post_floweringTP08
TP8_R17	TP8	Root	BT642	Pre_flowering	1	Pre_floweringTP08
TP8_R18	TP8	Root	RT430	Pre_flowering	1	Pre_floweringTP08
TP8_R19	TP8	Root	BT642	Control	2	ControlTP08
TP8_R2	TP8	Root	BT642	Control	1	ControlTP08
TP8_R20	TP8	Root	RT430	Control	2	ControlTP08
TP8_R21	TP8	Root	BT642	Post_flowering	3	Post_floweringTP08
TP8_R22	TP8	Root	RT430	Post_flowering	3	Post_floweringTP08
TP8_R3	TP8	Root	RT430	Post_flowering	2	Post_floweringTP08
TP8_R4	TP8	Root	BT642	Post_flowering	2	Post_floweringTP08
TP8_R5	TP8	Root	RT430	Pre_flowering	3	Pre_floweringTP08
TP8_R6	TP8	Root	BT642	Pre_flowering	3	Pre_floweringTP08
TP9_R1	TP9	Root	RT430	Control	1	ControlTP09
TP9_R11	TP9	Root	BT642	Control	3	ControlTP09
TP9_R12	TP9	Root	RT430	Control	3	ControlTP09
TP9_R13	TP9	Root	RT430	Pre_flowering	2	Pre_floweringTP09
TP9_R14	TP9	Root	BT642	Pre_flowering	2	Pre_floweringTP09
TP9_R15	TP9	Root	BT642	Post_flowering	1	Post_floweringTP09
TP9_R16	TP9	Root	RT430	Post_flowering	1	Post_floweringTP09
TP9_R17	TP9	Root	BT642	Pre_flowering	1	Pre_floweringTP09
TP9_R18	TP9	Root	RT430	Pre_flowering	1	Pre_floweringTP09
TP9_R19	TP9	Root	BT642	Control	2	ControlTP09
TP9_R2	TP9	Root	BT642	Control	1	ControlTP09
TP9_R20	TP9	Root	RT430	Control	2	ControlTP09
TP9_R21	TP9	Root	BT642	Post_flowering	3	Post_floweringTP09
TP9_R22	TP9	Root	RT430	Post_flowering	3	Post_floweringTP09
TP9_R3	TP9	Root	RT430	Post_flowering	2	Post_floweringTP09
TP9_R4	TP9	Root	BT642	Post_flowering	2	Post_floweringTP09
TP9_R5	TP9	Root	RT430	Pre_flowering	3	Pre_floweringTP09
TP9_R6	TP9	Root	BT642	Pre_flowering	3	Pre_floweringTP09
TP10_S1	TP10	Soil	RT430	Control	1	ControlTP10
TP10_S11	TP10	Soil	BT642	Control	3	ControlTP10
TP10_S12	TP10	Soil	RT430	Control	3	ControlTP10
TP10_S13	TP10	Soil	RT430	Pre_flowering	2	Pre_floweringTP10
TP10_S14	TP10	Soil	BT642	Pre_flowering	2	Pre_floweringTP10
TP10_S15	TP10	Soil	BT642	Post_flowering	1	Post_floweringTP10
TP10_S16	TP10	Soil	RT430	Post_flowering	1	Post_floweringTP10
TP10_S17	TP10	Soil	BT642	Pre_flowering	1	Pre_floweringTP10
TP10_S18	TP10	Soil	RT430	Pre_flowering	1	Pre_floweringTP10
TP10_S19	TP10	Soil	BT642	Control	2	ControlTP10
TP10_S2	TP10	Soil	BT642	Control	1	ControlTP10
TP10_S20	TP10	Soil	RT430	Control	2	ControlTP10
TP10_S21	TP10	Soil	BT642	Post_flowering	3	Post_floweringTP10
TP10_S22	TP10	Soil	RT430	Post_flowering	3	Post_floweringTP10
TP10_S3	TP10	Soil	RT430	Post_flowering	2	Post_floweringTP10
TP10_S4	TP10	Soil	BT642	Post_flowering	2	Post_floweringTP10
TP10_S5	TP10	Soil	RT430	Pre_flowering	3	Pre_floweringTP10
TP10_S6	TP10	Soil	BT642	Pre_flowering	3	Pre_floweringTP10
TP11_S1	TP11	Soil	RT430	Control	1	ControlTP11
TP11_S11	TP11	Soil	BT642	Control	3	ControlTP11
TP11_S12	TP11	Soil	RT430	Control	3	ControlTP11
TP11_S13	TP11	Soil	RT430	Pre_flowering	2	Pre_floweringTP11
TP11_S14	TP11	Soil	BT642	Pre_flowering	2	Pre_floweringTP11
TP11_S15	TP11	Soil	BT642	Post_flowering	1	Post_floweringTP11
TP11_S16	TP11	Soil	RT430	Post_flowering	1	Post_floweringTP11
TP11_S17	TP11	Soil	BT642	Pre_flowering	1	Pre_floweringTP11
TP11_S18	TP11	Soil	RT430	Pre_flowering	1	Pre_floweringTP11
TP11_S19	TP11	Soil	BT642	Control	2	ControlTP11
TP11_S2	TP11	Soil	BT642	Control	1	ControlTP11
TP11_S20	TP11	Soil	RT430	Control	2	ControlTP11
TP11_S21	TP11	Soil	BT642	Post_flowering	3	Post_floweringTP11
TP11_S22	TP11	Soil	RT430	Post_flowering	3	Post_floweringTP11
TP11_S3	TP11	Soil	RT430	Post_flowering	2	Post_floweringTP11
TP11_S4	TP11	Soil	BT642	Post_flowering	2	Post_floweringTP11
TP11_S5	TP11	Soil	RT430	Pre_flowering	3	Pre_floweringTP11
TP11_S6	TP11	Soil	BT642	Pre_flowering	3	Pre_floweringTP11
TP12_S1	TP12	Soil	RT430	Control	1	ControlTP12
TP12_S11	TP12	Soil	BT642	Control	3	ControlTP12
TP12_S12	TP12	Soil	RT430	Control	3	ControlTP12
TP12_S13	TP12	Soil	RT430	Pre_flowering	2	Pre_floweringTP12
TP12_S14	TP12	Soil	BT642	Pre_flowering	2	Pre_floweringTP12
TP12_S15	TP12	Soil	BT642	Post_flowering	1	Post_floweringTP12
TP12_S16	TP12	Soil	RT430	Post_flowering	1	Post_floweringTP12
TP12_S17	TP12	Soil	BT642	Pre_flowering	1	Pre_floweringTP12
TP12_S18	TP12	Soil	RT430	Pre_flowering	1	Pre_floweringTP12
TP12_S19	TP12	Soil	BT642	Control	2	ControlTP12
TP12_S2	TP12	Soil	BT642	Control	1	ControlTP12
TP12_S20	TP12	Soil	RT430	Control	2	ControlTP12
TP12_S21	TP12	Soil	BT642	Post_flowering	3	Post_floweringTP12
TP12_S22	TP12	Soil	RT430	Post_flowering	3	Post_floweringTP12
TP12_S3	TP12	Soil	RT430	Post_flowering	2	Post_floweringTP12
TP12_S4	TP12	Soil	BT642	Post_flowering	2	Post_floweringTP12
TP12_S5	TP12	Soil	RT430	Pre_flowering	3	Pre_floweringTP12
TP12_S6	TP12	Soil	BT642	Pre_flowering	3	Pre_floweringTP12
TP13_S1	TP13	Soil	RT430	Control	1	ControlTP13
TP13_S11	TP13	Soil	BT642	Control	3	ControlTP13
TP13_S12	TP13	Soil	RT430	Control	3	ControlTP13
TP13_S13	TP13	Soil	RT430	Pre_flowering	2	Pre_floweringTP13
TP13_S14	TP13	Soil	BT642	Pre_flowering	2	Pre_floweringTP13
TP13_S15	TP13	Soil	BT642	Post_flowering	1	Post_floweringTP13
TP13_S16	TP13	Soil	RT430	Post_flowering	1	Post_floweringTP13
TP13_S17	TP13	Soil	BT642	Pre_flowering	1	Pre_floweringTP13
TP13_S18	TP13	Soil	RT430	Pre_flowering	1	Pre_floweringTP13
TP13_S19	TP13	Soil	BT642	Control	2	ControlTP13
TP13_S2	TP13	Soil	BT642	Control	1	ControlTP13
TP13_S20	TP13	Soil	RT430	Control	2	ControlTP13
TP13_S21	TP13	Soil	BT642	Post_flowering	3	Post_floweringTP13
TP13_S22	TP13	Soil	RT430	Post_flowering	3	Post_floweringTP13
TP13_S3	TP13	Soil	RT430	Post_flowering	2	Post_floweringTP13
TP13_S4	TP13	Soil	BT642	Post_flowering	2	Post_floweringTP13
TP13_S5	TP13	Soil	RT430	Pre_flowering	3	Pre_floweringTP13
TP13_S6	TP13	Soil	BT642	Pre_flowering	3	Pre_floweringTP13
TP14_S1	TP14	Soil	RT430	Control	1	ControlTP14
TP14_S11	TP14	Soil	BT642	Control	3	ControlTP14
TP14_S12	TP14	Soil	RT430	Control	3	ControlTP14
TP14_S13	TP14	Soil	RT430	Pre_flowering	2	Pre_floweringTP14
TP14_S14	TP14	Soil	BT642	Pre_flowering	2	Pre_floweringTP14
TP14_S15	TP14	Soil	BT642	Post_flowering	1	Post_floweringTP14
TP14_S16	TP14	Soil	RT430	Post_flowering	1	Post_floweringTP14
TP14_S17	TP14	Soil	BT642	Pre_flowering	1	Pre_floweringTP14
TP14_S18	TP14	Soil	RT430	Pre_flowering	1	Pre_floweringTP14
TP14_S19	TP14	Soil	BT642	Control	2	ControlTP14
TP14_S2	TP14	Soil	BT642	Control	1	ControlTP14
TP14_S20	TP14	Soil	RT430	Post_flowering	3	Post_floweringTP14
TP14_S21	TP14	Soil	BT642	Post_flowering	3	Post_floweringTP14
TP14_S22	TP14	Soil	RT430	Control	2	ControlTP14
TP14_S3	TP14	Soil	RT430	Post_flowering	2	Post_floweringTP14
TP14_S4	TP14	Soil	BT642	Post_flowering	2	Post_floweringTP14
TP14_S5	TP14	Soil	RT430	Pre_flowering	3	Pre_floweringTP14
TP14_S6	TP14	Soil	BT642	Pre_flowering	3	Pre_floweringTP14
TP15_S1	TP15	Soil	RT430	Control	1	ControlTP15
TP15_S11	TP15	Soil	BT642	Control	3	ControlTP15
TP15_S12	TP15	Soil	RT430	Control	3	ControlTP15
TP15_S13	TP15	Soil	RT430	Pre_flowering	2	Pre_floweringTP15
TP15_S14	TP15	Soil	BT642	Pre_flowering	2	Pre_floweringTP15
TP15_S15	TP15	Soil	BT642	Post_flowering	1	Post_floweringTP15
TP15_S16	TP15	Soil	RT430	Post_flowering	1	Post_floweringTP15
TP15_S17	TP15	Soil	BT642	Pre_flowering	1	Pre_floweringTP15
TP15_S18	TP15	Soil	RT430	Pre_flowering	1	Pre_floweringTP15
TP15_S19	TP15	Soil	BT642	Control	2	ControlTP15
TP15_S2	TP15	Soil	BT642	Control	1	ControlTP15
TP15_S20	TP15	Soil	RT430	Control	2	ControlTP15
TP15_S21	TP15	Soil	BT642	Post_flowering	3	Post_floweringTP15
TP15_S22	TP15	Soil	RT430	Post_flowering	3	Post_floweringTP15
TP15_S3	TP15	Soil	RT430	Post_flowering	2	Post_floweringTP15
TP15_S4	TP15	Soil	BT642	Post_flowering	2	Post_floweringTP15
TP15_S5	TP15	Soil	RT430	Pre_flowering	3	Pre_floweringTP15
TP15_S6	TP15	Soil	BT642	Pre_flowering	3	Pre_floweringTP15
TP16_S1	TP16	Soil	RT430	Control	1	ControlTP16
TP16_S11	TP16	Soil	BT642	Control	3	ControlTP16
TP16_S12	TP16	Soil	RT430	Control	3	ControlTP16
TP16_S13	TP16	Soil	RT430	Pre_flowering	2	Pre_floweringTP16
TP16_S14	TP16	Soil	BT642	Pre_flowering	2	Pre_floweringTP16
TP16_S15	TP16	Soil	BT642	Post_flowering	1	Post_floweringTP16
TP16_S16	TP16	Soil	RT430	Post_flowering	1	Post_floweringTP16
TP16_S17	TP16	Soil	BT642	Pre_flowering	1	Pre_floweringTP16
TP16_S18	TP16	Soil	RT430	Pre_flowering	1	Pre_floweringTP16
TP16_S19	TP16	Soil	BT642	Control	2	ControlTP16
TP16_S2	TP16	Soil	BT642	Control	1	ControlTP16
TP16_S20	TP16	Soil	RT430	Control	2	ControlTP16
TP16_S21	TP16	Soil	BT642	Post_flowering	3	Post_floweringTP16
TP16_S22	TP16	Soil	RT430	Post_flowering	3	Post_floweringTP16
TP16_S3	TP16	Soil	RT430	Post_flowering	2	Post_floweringTP16
TP16_S4	TP16	Soil	BT642	Post_flowering	2	Post_floweringTP16
TP16_S5	TP16	Soil	RT430	Pre_flowering	3	Pre_floweringTP16
TP16_S6	TP16	Soil	BT642	Pre_flowering	3	Pre_floweringTP16
TP17_S1	TP17	Soil	RT430	Control	1	ControlTP17
TP17_S11	TP17	Soil	BT642	Control	3	ControlTP17
TP17_S12	TP17	Soil	RT430	Control	3	ControlTP17
TP17_S13	TP17	Soil	RT430	Pre_flowering	2	Pre_floweringTP17
TP17_S14	TP17	Soil	BT642	Pre_flowering	2	Pre_floweringTP17
TP17_S15	TP17	Soil	BT642	Post_flowering	1	Post_floweringTP17
TP17_S16	TP17	Soil	RT430	Post_flowering	1	Post_floweringTP17
TP17_S17	TP17	Soil	BT642	Pre_flowering	1	Pre_floweringTP17
TP17_S18	TP17	Soil	RT430	Pre_flowering	1	Pre_floweringTP17
TP17_S19	TP17	Soil	BT642	Control	2	ControlTP17
TP17_S2	TP17	Soil	BT642	Control	1	ControlTP17
TP17_S20	TP17	Soil	RT430	Control	2	ControlTP17
TP17_S21	TP17	Soil	BT642	Post_flowering	3	Post_floweringTP17
TP17_S22	TP17	Soil	RT430	Post_flowering	3	Post_floweringTP17
TP17_S3	TP17	Soil	RT430	Post_flowering	2	Post_floweringTP17
TP17_S4	TP17	Soil	BT642	Post_flowering	2	Post_floweringTP17
TP17_S5	TP17	Soil	RT430	Pre_flowering	3	Pre_floweringTP17
TP17_S6	TP17	Soil	BT642	Pre_flowering	3	Pre_floweringTP17
TP1_S1	TP1	Soil	RT430	Control	1	ControlTP01
TP1_S11	TP1	Soil	BT642	Control	3	ControlTP01
TP1_S12	TP1	Soil	RT430	Control	3	ControlTP01
TP1_S19	TP1	Soil	BT642	Control	2	ControlTP01
TP1_S2	TP1	Soil	BT642	Control	1	ControlTP01
TP1_S20	TP1	Soil	RT430	Control	2	ControlTP01
TP2_S1	TP2	Soil	RT430	Control	1	ControlTP02
TP2_S11	TP2	Soil	BT642	Control	3	ControlTP02
TP2_S12	TP2	Soil	RT430	Control	3	ControlTP02
TP2_S19	TP2	Soil	BT642	Control	2	ControlTP02
TP2_S2	TP2	Soil	BT642	Control	1	ControlTP02
TP2_S20	TP2	Soil	RT430	Control	2	ControlTP02
TP3_S1	TP3	Soil	RT430	Control	1	ControlTP03
TP3_S11	TP3	Soil	BT642	Control	3	ControlTP03
TP3_S12	TP3	Soil	RT430	Control	3	ControlTP03
TP3_S13	TP3	Soil	RT430	Pre_flowering	2	Pre_floweringTP03
TP3_S14	TP3	Soil	BT642	Pre_flowering	2	Pre_floweringTP03
TP3_S17	TP3	Soil	BT642	Pre_flowering	1	Pre_floweringTP03
TP3_S18	TP3	Soil	RT430	Pre_flowering	1	Pre_floweringTP03
TP3_S19	TP3	Soil	BT642	Control	2	ControlTP03
TP3_S2	TP3	Soil	BT642	Control	1	ControlTP03
TP3_S20	TP3	Soil	RT430	Control	2	ControlTP03
TP3_S5	TP3	Soil	RT430	Pre_flowering	3	Pre_floweringTP03
TP3_S6	TP3	Soil	BT642	Pre_flowering	3	Pre_floweringTP03
TP4_S1	TP4	Soil	RT430	Control	1	ControlTP04
TP4_S11	TP4	Soil	BT642	Control	3	ControlTP04
TP4_S12	TP4	Soil	RT430	Control	3	ControlTP04
TP4_S13	TP4	Soil	RT430	Pre_flowering	2	Pre_floweringTP04
TP4_S14	TP4	Soil	BT642	Pre_flowering	2	Pre_floweringTP04
TP4_S17	TP4	Soil	BT642	Pre_flowering	1	Pre_floweringTP04
TP4_S18	TP4	Soil	RT430	Pre_flowering	1	Pre_floweringTP04
TP4_S19	TP4	Soil	BT642	Control	2	ControlTP04
TP4_S2	TP4	Soil	BT642	Control	1	ControlTP04
TP4_S20	TP4	Soil	RT430	Control	2	ControlTP04
TP4_S5	TP4	Soil	RT430	Pre_flowering	3	Pre_floweringTP04
TP4_S6	TP4	Soil	BT642	Pre_flowering	3	Pre_floweringTP04
TP5_S1	TP5	Soil	RT430	Control	1	ControlTP05
TP5_S11	TP5	Soil	BT642	Control	3	ControlTP05
TP5_S12	TP5	Soil	RT430	Control	3	ControlTP05
TP5_S13	TP5	Soil	RT430	Pre_flowering	2	Pre_floweringTP05
TP5_S14	TP5	Soil	BT642	Pre_flowering	2	Pre_floweringTP05
TP5_S17	TP5	Soil	BT642	Pre_flowering	1	Pre_floweringTP05
TP5_S18	TP5	Soil	RT430	Pre_flowering	1	Pre_floweringTP05
TP5_S19	TP5	Soil	BT642	Control	2	ControlTP05
TP5_S2	TP5	Soil	BT642	Control	1	ControlTP05
TP5_S20	TP5	Soil	RT430	Control	2	ControlTP05
TP5_S5	TP5	Soil	RT430	Pre_flowering	3	Pre_floweringTP05
TP5_S6	TP5	Soil	BT642	Pre_flowering	3	Pre_floweringTP05
TP6_S1	TP6	Soil	RT430	Control	1	ControlTP06
TP6_S11	TP6	Soil	BT642	Control	3	ControlTP06
TP6_S12	TP6	Soil	RT430	Control	3	ControlTP06
TP6_S13	TP6	Soil	RT430	Pre_flowering	2	Pre_floweringTP06
TP6_S14	TP6	Soil	BT642	Pre_flowering	2	Pre_floweringTP06
TP6_S17	TP6	Soil	BT642	Pre_flowering	1	Pre_floweringTP06
TP6_S18	TP6	Soil	RT430	Pre_flowering	1	Pre_floweringTP06
TP6_S19	TP6	Soil	BT642	Control	2	ControlTP06
TP6_S2	TP6	Soil	BT642	Control	1	ControlTP06
TP6_S20	TP6	Soil	RT430	Control	2	ControlTP06
TP6_S5	TP6	Soil	RT430	Pre_flowering	3	Pre_floweringTP06
TP6_S6	TP6	Soil	BT642	Pre_flowering	3	Pre_floweringTP06
TP7_S1	TP7	Soil	RT430	Control	1	ControlTP07
TP7_S11	TP7	Soil	BT642	Control	3	ControlTP07
TP7_S12	TP7	Soil	RT430	Control	3	ControlTP07
TP7_S13	TP7	Soil	RT430	Pre_flowering	2	Pre_floweringTP07
TP7_S14	TP7	Soil	BT642	Pre_flowering	2	Pre_floweringTP07
TP7_S17	TP7	Soil	BT642	Pre_flowering	1	Pre_floweringTP07
TP7_S18	TP7	Soil	RT430	Pre_flowering	1	Pre_floweringTP07
TP7_S19	TP7	Soil	BT642	Control	2	ControlTP07
TP7_S2	TP7	Soil	BT642	Control	1	ControlTP07
TP7_S20	TP7	Soil	RT430	Control	2	ControlTP07
TP7_S5	TP7	Soil	RT430	Pre_flowering	3	Pre_floweringTP07
TP7_S6	TP7	Soil	BT642	Pre_flowering	3	Pre_floweringTP07
TP8_S1	TP8	Soil	RT430	Control	1	ControlTP08
TP8_S11	TP8	Soil	BT642	Control	3	ControlTP08
TP8_S12	TP8	Soil	RT430	Control	3	ControlTP08
TP8_S13	TP8	Soil	RT430	Pre_flowering	2	Pre_floweringTP08
TP8_S14	TP8	Soil	BT642	Pre_flowering	2	Pre_floweringTP08
TP8_S15	TP8	Soil	BT642	Post_flowering	1	Post_floweringTP08
TP8_S16	TP8	Soil	RT430	Post_flowering	1	Post_floweringTP08
TP8_S17	TP8	Soil	BT642	Pre_flowering	1	Pre_floweringTP08
TP8_S18	TP8	Soil	RT430	Pre_flowering	1	Pre_floweringTP08
TP8_S19	TP8	Soil	BT642	Control	2	ControlTP08
TP8_S2	TP8	Soil	BT642	Control	1	ControlTP08
TP8_S20	TP8	Soil	RT430	Control	2	ControlTP08
TP8_S21	TP8	Soil	BT642	Post_flowering	3	Post_floweringTP08
TP8_S22	TP8	Soil	RT430	Post_flowering	3	Post_floweringTP08
TP8_S3	TP8	Soil	RT430	Post_flowering	2	Post_floweringTP08
TP8_S4	TP8	Soil	BT642	Post_flowering	2	Post_floweringTP08
TP8_S5	TP8	Soil	RT430	Pre_flowering	3	Pre_floweringTP08
TP8_S6	TP8	Soil	BT642	Pre_flowering	3	Pre_floweringTP08
TP9_S1	TP9	Soil	RT430	Control	1	ControlTP09
TP9_S11	TP9	Soil	BT642	Control	3	ControlTP09
TP9_S12	TP9	Soil	RT430	Control	3	ControlTP09
TP9_S13	TP9	Soil	RT430	Pre_flowering	2	Pre_floweringTP09
TP9_S14	TP9	Soil	BT642	Pre_flowering	2	Pre_floweringTP09
TP9_S15	TP9	Soil	BT642	Post_flowering	1	Post_floweringTP09
TP9_S16	TP9	Soil	RT430	Post_flowering	1	Post_floweringTP09
TP9_S17	TP9	Soil	BT642	Pre_flowering	1	Pre_floweringTP09
TP9_S18	TP9	Soil	RT430	Pre_flowering	1	Pre_floweringTP09
TP9_S19	TP9	Soil	BT642	Control	2	ControlTP09
TP9_S2	TP9	Soil	BT642	Control	1	ControlTP09
TP9_S20	TP9	Soil	RT430	Control	2	ControlTP09
TP9_S21	TP9	Soil	BT642	Post_flowering	3	Post_floweringTP09
TP9_S22	TP9	Soil	RT430	Post_flowering	3	Post_floweringTP09
TP9_S3	TP9	Soil	RT430	Post_flowering	2	Post_floweringTP09
TP9_S4	TP9	Soil	BT642	Post_flowering	2	Post_floweringTP09
TP9_S5	TP9	Soil	RT430	Pre_flowering	3	Pre_floweringTP09
TP9_S6	TP9	Soil	BT642	Pre_flowering	3	Pre_floweringTP09
