Var1	Var2	value	Variation
ControlTP3	Pre_floweringTP11	0.680726898	CD
ControlTP4	Pre_floweringTP11	0.381678074	CD
ControlTP5	Pre_floweringTP11	0.333614658	CD
ControlTP6	Pre_floweringTP11	0.249182917	CD
ControlTP7	Pre_floweringTP11	0.308792928	CD
ControlTP8	Pre_floweringTP11	0.331842831	CD
ControlTP9	Pre_floweringTP11	0.317488255	CD
ControlTP1	Pre_floweringTP12	0.609573736	CD
ControlTP10	Pre_floweringTP12	0.286518542	CD
ControlTP11	Pre_floweringTP12	0.353964422	CD
ControlTP12	Pre_floweringTP12	0.356210069	CD
ControlTP13	Pre_floweringTP12	0.378364137	CD
ControlTP14	Pre_floweringTP12	0.411910749	CD
ControlTP15	Pre_floweringTP12	0.432301722	CD
ControlTP16	Pre_floweringTP12	0.426385726	CD
ControlTP17	Pre_floweringTP12	0.416112365	CD
ControlTP2	Pre_floweringTP12	0.66652037	CD
ControlTP3	Pre_floweringTP12	0.716377854	CD
ControlTP4	Pre_floweringTP12	0.485051813	CD
ControlTP5	Pre_floweringTP12	0.414204108	CD
ControlTP6	Pre_floweringTP12	0.279953914	CD
ControlTP7	Pre_floweringTP12	0.288942135	CD
ControlTP8	Pre_floweringTP12	0.295104041	CD
ControlTP9	Pre_floweringTP12	0.276828255	CD
ControlTP1	Pre_floweringTP13	0.682241682	CD
ControlTP10	Pre_floweringTP13	0.242403545	CD
ControlTP11	Pre_floweringTP13	0.281000398	CD
ControlTP12	Pre_floweringTP13	0.287470652	CD
ControlTP13	Pre_floweringTP13	0.330687809	CD
ControlTP14	Pre_floweringTP13	0.342389524	CD
ControlTP15	Pre_floweringTP13	0.362659195	CD
ControlTP16	Pre_floweringTP13	0.360043564	CD
ControlTP17	Pre_floweringTP13	0.366394606	CD
ControlTP2	Pre_floweringTP13	0.688552158	CD
ControlTP3	Pre_floweringTP13	0.751409709	CD
ControlTP4	Pre_floweringTP13	0.546316604	CD
ControlTP5	Pre_floweringTP13	0.481438777	CD
ControlTP6	Pre_floweringTP13	0.283192246	CD
ControlTP7	Pre_floweringTP13	0.28830522	CD
ControlTP8	Pre_floweringTP13	0.273557607	CD
ControlTP9	Pre_floweringTP13	0.237361303	CD
ControlTP1	Pre_floweringTP14	0.684199903	CD
ControlTP10	Pre_floweringTP14	0.197554557	CD
ControlTP11	Pre_floweringTP14	0.237264625	CD
ControlTP12	Pre_floweringTP14	0.248892136	CD
ControlTP13	Pre_floweringTP14	0.312375184	CD
ControlTP14	Pre_floweringTP14	0.305588296	CD
ControlTP15	Pre_floweringTP14	0.34127368	CD
ControlTP16	Pre_floweringTP14	0.331468891	CD
ControlTP17	Pre_floweringTP14	0.328147168	CD
ControlTP2	Pre_floweringTP14	0.682247161	CD
ControlTP3	Pre_floweringTP14	0.742457388	CD
ControlTP4	Pre_floweringTP14	0.543870114	CD
ControlTP5	Pre_floweringTP14	0.485178676	CD
ControlTP6	Pre_floweringTP14	0.28152955	CD
ControlTP7	Pre_floweringTP14	0.28108386	CD
ControlTP8	Pre_floweringTP14	0.258181853	CD
ControlTP9	Pre_floweringTP14	0.212700141	CD
ControlTP1	Pre_floweringTP15	0.722199297	CD
ControlTP10	Pre_floweringTP15	0.248544637	CD
ControlTP11	Pre_floweringTP15	0.20616767	CD
ControlTP12	Pre_floweringTP15	0.202760651	CD
ControlTP13	Pre_floweringTP15	0.239499897	CD
ControlTP14	Pre_floweringTP15	0.244920018	CD
ControlTP15	Pre_floweringTP15	0.260417678	CD
ControlTP16	Pre_floweringTP15	0.266700165	CD
ControlTP17	Pre_floweringTP15	0.288137834	CD
ControlTP2	Pre_floweringTP15	0.712134306	CD
ControlTP3	Pre_floweringTP15	0.775036417	CD
ControlTP4	Pre_floweringTP15	0.59759508	CD
ControlTP5	Pre_floweringTP15	0.539099026	CD
ControlTP6	Pre_floweringTP15	0.341317987	CD
ControlTP7	Pre_floweringTP15	0.308213004	CD
ControlTP8	Pre_floweringTP15	0.273912271	CD
ControlTP9	Pre_floweringTP15	0.243507393	CD
ControlTP1	Pre_floweringTP16	0.732937537	CD
ControlTP10	Pre_floweringTP16	0.269430134	CD
ControlTP11	Pre_floweringTP16	0.227250474	CD
ControlTP12	Pre_floweringTP16	0.209341312	CD
